,Height,Overall,Acceleration,Ball control,Block,Boxout,Contact dunk,Contested shot 3pt,Contested shot mid,Defensive consistency,Defensive rebound,Draw foul,Driving dunk,Driving layup,Free throw,Hands,Help defense IQ,Hustle,Lateral quickness,Low post defense IQ,Off dribble shot 3pt,Off dribble shot mid,Offensive consistency,Offensive rebound,On-ball defense IQ,Open shot 3pt,Open shot mid,Pass perception,Passing IQ,Passing accuracy,Passing vision,Pick & roll defense IQ,Post control,Post fadeaway,Post hook,Reaction time,Shot IQ,Shot close,Shot contest,Speed,Speed with ball,Stamina,Standing dunk,Standing layup,Steal,Strength,Vertical,kmeans_label,PLAYER_ID,Name
10,81,98,90,96,42,84,25,74,83,97,74,84,64,99,84,98,97,98,98,80,73,82,98,60,98,74,83,98,98,98,98,98,91,78,98,98,98,95,97,89,89,98,25,98,78,84,78,1,8015,Magic Johnson
11,81,98,80,76,42,85,85,78,90,95,80,95,95,94,81,92,88,95,88,87,57,76,98,78,85,82,90,85,75,72,67,91,97,96,97,83,95,97,83,86,76,98,90,98,63,80,90,1,8030,James Worthy
12,82,98,52,45,85,98,55,31,62,98,98,78,55,88,77,95,98,98,82,98,26,44,98,97,94,45,80,90,75,60,42,97,98,97,97,95,98,97,95,64,42,96,70,97,65,94,75,0,8565,Kevin McHale
13,78,97,95,89,61,75,98,90,89,85,68,89,99,96,86,98,88,95,88,60,90,92,98,62,88,94,95,90,93,85,70,90,75,88,46,95,98,95,80,95,88,98,80,96,82,68,99,1,20244,Vince Carter
14,76,97,97,82,85,74,95,80,88,90,78,96,98,98,85,95,90,96,88,50,72,90,98,76,88,83,92,85,88,85,70,89,74,58,57,95,98,97,85,96,88,98,85,98,68,78,99,1,8513,David Thompson
15,75,97,93,84,45,70,50,78,89,98,74,89,81,92,84,95,98,97,98,63,69,90,98,62,98,82,92,98,90,87,70,98,65,78,68,88,96,96,88,91,86,98,40,95,67,85,88,1,8018,Sidney Moncrief
16,81,97,63,79,47,90,35,92,94,99,77,76,45,72,89,98,97,98,85,85,90,93,98,61,96,94,95,98,95,94,73,97,96,94,70,97,99,96,97,64,64,97,40,98,75,65,50,0,8014,Larry Bird
17,77,97,90,85,42,64,45,95,96,85,62,94,75,94,89,96,89,97,79,62,95,96,98,52,84,96,96,85,86,82,67,89,48,79,69,92,97,97,79,89,85,98,55,96,78,79,89,1,8028,Mitch Richmond
18,81,97,60,44,65,97,40,68,88,98,96,95,70,84,85,98,98,98,80,97,38,60,98,96,94,78,91,98,82,62,55,98,96,94,95,54,97,97,54,73,42,98,95,96,60,95,82,1,8021,Dave Cowens
19,76,97,96,95,31,61,30,80,88,95,61,89,61,98,86,95,95,85,96,57,79,94,98,41,96,84,94,84,94,96,93,94,48,55,25,92,98,97,92,97,96,96,25,98,96,72,84,2,8029,Walt Frazier
20,82,97,68,50,97,96,70,34,75,98,96,96,70,80,78,92,98,95,79,97,29,37,97,92,94,62,82,90,64,33,29,98,96,94,98,92,96,94,96,72,44,98,98,98,74,96,82,1,8025,Alonzo Mourning
21,73,97,90,88,40,41,30,94,96,90,34,94,30,96,89,97,90,95,85,35,85,97,98,42,89,97,96,94,92,90,82,90,36,60,25,92,98,94,84,90,86,97,25,96,86,64,82,2,8517,Gail Goodrich
22,83,96,84,72,96,94,95,51,96,90,95,92,95,90,89,96,90,94,88,90,45,70,98,96,89,80,96,80,72,50,52,88,96,97,97,89,95,97,90,86,66,97,95,98,80,80,88,1,20365,Anthony Davis
23,80,96,95,84,39,72,85,64,92,95,74,92,97,97,82,94,90,95,90,40,69,90,98,62,91,86,94,82,90,82,84,92,72,78,40,79,98,97,80,95,93,97,70,97,80,70,94,1,8508,Grant Hill
24,80,96,68,55,84,98,55,92,94,90,97,92,70,78,85,95,90,92,52,88,58,64,98,96,81,94,96,77,78,75,73,90,95,96,96,85,98,97,88,71,52,98,85,97,50,89,70,0,8514,Jerry Lucas
25,72,96,98,91,35,50,25,90,92,97,55,88,27,97,90,95,96,85,95,65,89,96,98,34,97,94,97,96,98,98,98,97,48,55,40,78,98,98,82,97,97,97,25,95,98,68,88,2,8036,Chris Paul
26,75,96,94,93,37,50,30,89,92,85,40,91,60,97,81,94,78,95,92,45,91,94,98,50,84,93,95,88,94,97,90,86,40,60,40,88,98,95,81,93,95,97,25,97,82,58,83,2,8037,Dave Bing
27,74,96,97,95,35,38,30,88,95,90,47,84,30,97,85,98,88,95,87,54,82,94,98,30,88,90,95,92,95,98,92,88,58,58,30,95,97,97,80,98,98,98,25,97,88,50,85,2,8518,Tony Parker
28,83,96,82,50,96,98,90,25,25,98,97,95,97,85,67,95,98,95,85,97,25,25,98,97,89,25,28,88,74,33,33,96,95,53,97,82,98,97,94,90,31,98,98,98,78,98,95,4,20250,Dwight Howard
29,86,96,60,44,97,95,30,27,74,95,97,95,65,82,70,80,95,98,60,94,25,31,95,95,88,34,80,80,54,58,55,95,97,92,97,54,96,98,84,72,32,96,80,96,60,95,72,0,8019,Artis Gilmore
30,72,96,92,94,27,40,25,97,96,80,44,88,25,93,95,98,78,95,76,25,95,96,98,38,76,97,96,72,97,97,96,74,25,29,25,82,97,95,75,90,91,97,25,95,67,40,80,2,8020,Mark Price
31,79,95,92,89,65,82,90,82,94,95,84,93,98,98,85,98,91,95,93,65,69,94,98,65,92,84,96,94,94,92,86,92,85,84,65,95,98,98,92,95,84,98,78,97,94,70,97,1,20048,Clyde Drexler
32,80,95,87,86,65,82,80,74,90,95,84,84,95,95,80,98,97,95,95,84,74,90,95,78,97,84,94,95,92,90,85,96,72,80,70,95,96,97,94,86,84,98,70,95,96,70,86,1,20051,Scottie Pippen
33,79,95,95,84,47,85,85,70,90,95,78,94,98,96,85,98,84,85,82,63,72,94,98,68,82,87,95,84,82,70,60,85,76,84,50,79,97,97,79,95,88,96,96,98,69,77,98,1,20019,Dominique Wilkins
34,79,95,90,94,40,60,50,80,91,95,68,89,86,95,82,95,88,95,84,65,80,91,98,62,85,84,93,88,94,95,89,89,74,65,55,88,98,97,84,91,93,98,70,97,89,68,83,1,20152,Penny Hardaway
35,85,95,70,54,95,95,50,54,90,95,95,93,60,88,77,90,97,95,88,98,29,70,98,94,94,76,95,88,48,40,62,95,96,97,97,96,82,98,96,82,44,95,95,98,84,97,75,1,20050,David Robinson
36,75,95,96,90,28,85,50,90,90,80,88,90,95,94,90,90,80,98,87,30,93,92,98,70,82,93,94,80,97,95,98,80,57,64,33,82,84,90,90,98,97,98,25,95,80,82,94,1,20364,Russell Westbrook
37,81,95,86,94,32,84,25,71,79,95,67,81,50,94,90,98,94,95,90,80,69,81,98,46,90,76,82,98,98,98,96,95,90,60,96,97,98,92,98,85,87,97,25,98,63,86,70,2,20033,Magic Johnson
38,80,95,79,75,37,96,45,76,79,85,96,92,85,85,74,94,86,95,79,85,34,54,98,97,78,80,84,82,78,70,74,82,94,90,92,80,97,96,80,80,64,98,95,97,78,98,80,1,8529,George McGinnis
39,79,95,95,91,50,72,80,65,97,60,63,87,88,98,86,98,74,85,68,70,50,97,98,60,76,79,97,76,90,84,79,75,88,88,70,78,98,97,74,94,88,98,75,98,63,82,88,1,8034,Alex English
40,76,95,95,93,30,60,25,84,88,95,62,94,29,96,88,95,95,90,95,70,80,92,95,37,94,90,92,95,97,98,98,97,70,68,60,82,98,97,84,94,95,98,25,98,96,70,82,2,20166,Jason Kidd
41,78,95,86,79,53,48,59,88,85,98,48,84,75,94,76,85,97,84,98,86,74,85,95,58,98,88,89,98,68,69,66,98,69,77,66,80,96,90,87,88,80,95,60,94,95,93,85,1,8035,Ron Artest
42,77,95,86,82,45,54,55,88,92,90,58,88,85,95,88,95,84,94,84,70,88,94,98,46,86,88,96,84,81,74,68,88,78,65,60,84,95,96,87,88,82,98,50,95,82,82,87,1,8024,Lou Hudson
43,84,95,65,40,89,97,50,37,92,98,95,92,75,74,82,98,95,90,39,94,32,72,98,93,90,65,95,91,78,64,57,94,96,98,95,95,98,97,96,75,40,98,96,98,64,97,70,0,20000,Patrick Ewing
44,75,95,98,96,37,54,55,84,94,85,55,92,97,98,88,85,85,95,84,50,84,95,98,36,80,84,95,78,96,96,88,79,55,55,55,79,98,97,79,98,98,98,25,98,75,70,96,1,20168,Derrick Rose
45,81,95,80,51,94,95,75,32,74,95,94,78,85,88,79,95,94,95,74,95,25,42,98,97,82,54,85,82,55,50,49,86,96,85,94,92,97,97,90,84,66,98,95,95,78,92,85,1,8528,Willis Reed
46,81,95,80,83,45,79,45,82,84,85,72,90,85,92,86,92,88,90,85,63,88,85,98,40,85,88,85,88,75,76,73,84,70,74,40,94,98,95,92,80,79,95,55,98,79,60,92,1,8002,Paul George
47,81,95,70,52,94,98,60,65,60,95,98,85,85,72,69,95,96,95,78,95,35,37,98,97,74,70,72,78,60,58,52,75,95,96,93,80,98,98,90,80,60,97,90,97,80,90,80,1,8507,Elvin Hayes
48,83,95,59,42,70,97,50,80,93,85,97,92,65,74,92,95,88,95,52,88,29,64,98,93,79,86,95,80,78,60,69,82,95,95,95,74,98,96,84,62,40,97,90,96,64,92,70,0,8042,Jack Sikma
49,83,95,60,58,61,92,50,85,94,85,92,89,75,82,86,96,84,95,49,85,60,70,98,90,80,89,95,76,69,52,43,86,96,96,96,73,98,95,73,72,52,95,90,97,57,80,80,1,8038,Chris Bosh
50,87,95,38,38,84,93,40,80,88,90,94,82,60,70,84,94,94,90,45,90,33,60,95,90,83,87,91,71,90,80,88,89,95,89,94,82,97,96,88,50,32,97,90,96,61,92,65,0,8044,Arvydas Sabonis
51,81,95,82,45,97,98,90,25,26,99,96,88,90,79,55,98,98,98,94,98,25,25,85,97,98,25,45,98,75,54,34,98,79,48,79,97,97,90,98,88,60,98,97,96,88,95,92,4,8515,Ben Wallace
52,75,95,92,91,40,54,35,88,92,85,62,90,48,97,88,95,85,95,86,30,82,94,98,48,82,89,96,84,94,92,83,84,33,44,36,94,97,97,75,92,90,97,25,98,84,70,88,2,8046,Earl Monroe
53,80,95,78,79,45,50,40,96,95,80,50,92,60,96,90,85,71,80,70,55,93,94,98,45,78,96,96,69,80,82,61,80,82,82,77,82,94,95,80,83,77,95,50,98,38,80,80,1,8547,Kiki Vandeweghe
54,78,95,92,95,51,60,35,90,90,85,62,90,50,96,88,98,82,86,80,45,92,94,98,52,79,93,95,84,95,90,82,82,49,65,40,70,98,95,70,80,92,90,25,96,82,43,67,2,8040,Manu Ginobili
55,72,95,97,95,30,45,25,87,90,90,46,84,25,94,80,92,82,94,90,40,88,91,98,40,90,88,92,98,94,96,94,83,33,55,25,88,98,93,82,97,97,98,25,92,97,70,80,2,8045,Tim Hardaway
56,75,95,92,93,45,48,30,89,94,85,46,90,35,95,89,95,82,85,75,54,90,93,98,34,78,90,94,79,95,92,94,78,60,64,30,82,98,94,81,89,93,97,25,95,78,48,82,2,8043,Sam Cassell
57,79,94,74,71,65,93,55,82,85,90,94,88,80,84,83,95,89,95,70,88,54,65,98,89,78,89,89,80,79,74,69,92,94,92,94,90,98,96,84,79,64,95,95,96,72,92,85,1,8026,Larry Johnson
58,78,94,85,85,60,85,80,61,80,95,55,82,98,98,84,95,96,95,90,74,60,80,98,63,94,75,80,90,84,74,65,95,75,70,69,91,98,89,91,88,85,95,80,98,75,85,98,1,8017,Julius Erving
59,77,94,86,95,53,82,55,94,92,55,86,98,85,98,95,84,75,95,75,67,94,94,98,80,70,95,95,84,95,95,95,74,68,75,54,82,97,96,75,88,90,98,35,98,78,72,85,1,20310,James Harden
60,80,94,92,84,81,68,65,84,88,85,62,80,93,93,77,98,84,85,82,66,84,87,98,65,82,84,89,94,84,82,82,81,74,84,61,80,97,88,80,94,88,98,75,92,64,68,98,1,20160,Tracy McGrady
61,82,94,74,72,60,92,95,84,88,80,90,93,97,85,86,98,79,97,58,82,48,66,98,88,77,86,90,75,64,52,45,81,94,89,90,79,98,96,78,77,51,97,95,97,60,84,92,1,8041,Tom Chambers
62,78,94,88,84,40,55,55,86,95,85,52,88,75,95,90,98,83,92,84,65,84,95,98,54,84,89,95,78,85,76,69,82,64,70,59,80,98,96,80,88,80,96,40,96,62,69,82,1,8032,Rolando Blackman
63,82,94,77,45,99,95,65,25,38,95,95,71,83,76,61,98,96,95,67,98,25,30,90,94,97,29,45,97,88,78,80,98,88,65,88,98,95,88,99,81,54,95,95,95,72,90,88,4,20143,Bill Russell
64,85,94,68,44,96,92,65,45,59,85,92,92,75,75,58,95,89,98,58,88,46,52,95,93,81,43,58,80,64,60,55,80,92,98,97,97,90,90,95,80,38,95,85,94,64,92,90,1,20171,Wilt Chamberlain
65,72,94,98,97,37,50,25,79,90,91,45,88,65,98,81,98,82,97,90,30,78,92,98,34,88,79,87,96,90,90,76,85,33,60,25,90,98,78,92,95,95,98,25,96,95,65,97,2,8016,Allen Iverson
66,81,94,54,45,84,95,50,31,92,90,96,91,65,76,82,92,88,95,42,89,30,48,98,96,77,59,94,80,75,42,45,88,96,92,96,76,98,97,82,67,39,98,95,96,77,96,70,0,8022,Elton Brand
67,81,94,58,35,40,91,65,78,90,90,92,90,70,80,85,90,92,94,48,91,29,66,98,90,77,81,94,78,61,45,49,90,96,95,97,73,97,97,73,62,32,98,95,98,58,95,70,0,8023,Zach Randolph
68,77,94,82,82,38,47,40,98,94,85,48,83,57,89,87,95,80,85,84,42,98,97,98,62,82,98,98,79,82,78,71,84,45,67,58,84,98,90,78,83,80,95,30,92,71,60,65,2,8033,Drazen Petrovic
69,85,94,70,58,90,98,99,25,25,97,90,97,85,58,53,98,96,85,52,95,25,25,98,90,92,26,37,92,66,66,51,90,94,50,97,98,99,97,98,78,52,95,99,98,60,99,85,4,8031,Shaquille O'Neal
70,86,94,62,29,98,97,70,25,25,98,97,75,40,32,71,95,98,80,80,98,25,25,85,98,97,25,35,95,45,45,32,97,78,48,95,95,95,92,95,74,35,85,97,95,58,83,85,4,20145,Dikembe Mutombo
71,79,93,81,82,52,74,65,77,87,95,75,84,98,94,81,98,85,95,88,65,69,84,95,65,88,84,88,94,82,79,72,90,74,84,65,92,95,94,92,82,83,96,78,95,80,70,94,1,8039,Clyde Drexler
72,82,93,80,76,65,92,98,55,84,85,94,86,98,83,75,95,86,95,62,88,45,51,98,92,80,70,92,75,79,72,71,89,92,92,92,86,98,97,72,86,60,97,98,97,74,86,98,1,20254,Blake Griffin
73,87,93,80,80,85,85,55,88,87,80,87,82,80,84,88,77,88,85,69,87,68,78,95,84,77,92,91,60,88,82,70,82,88,92,89,68,92,92,84,87,68,92,95,92,85,55,82,1,20361,Kristaps Porzingis
74,79,93,80,80,44,82,60,78,93,90,85,98,90,96,97,85,84,95,92,68,70,94,98,75,92,83,95,90,78,78,70,90,70,70,41,82,97,95,81,84,83,98,32,98,92,63,76,1,20200,Jimmy Butler
75,77,93,77,89,45,70,25,75,80,95,63,73,50,98,85,90,95,83,95,55,78,84,98,63,95,80,87,95,98,98,97,94,85,82,70,95,98,89,95,78,84,90,25,88,72,75,86,2,20039,Oscar Robertson
76,76,93,90,85,45,40,30,98,90,85,42,82,70,90,95,94,83,78,85,42,98,84,98,41,84,98,90,84,82,84,80,85,50,63,35,73,98,92,73,89,88,98,30,92,84,65,88,2,20362,Eric Gordon
77,77,92,86,93,53,82,55,92,92,55,86,98,85,98,92,84,75,95,75,67,94,94,98,80,70,95,95,78,90,84,95,74,68,75,54,82,92,92,75,86,90,98,35,94,69,72,85,1,20196,James Harden
78,79,92,82,68,80,89,70,78,76,90,81,79,92,85,85,95,88,90,84,80,65,59,95,74,86,83,88,95,70,60,34,88,84,62,80,84,97,95,92,84,73,98,85,95,96,75,88,1,8520,Shawn Marion
79,80,92,85,78,44,78,50,74,84,90,80,77,85,95,61,87,90,93,91,80,75,83,95,60,91,84,85,91,88,76,92,90,83,73,63,85,87,91,84,88,87,98,59,97,54,87,86,1,20128,LeBron James
80,78,92,95,88,67,42,65,60,84,95,51,96,98,95,86,98,84,86,90,61,60,84,98,52,92,70,85,80,80,80,70,94,68,90,40,95,98,90,95,95,90,99,75,95,92,54,98,1,20256,Michael Jordan
81,77,92,92,84,60,84,40,74,82,80,85,90,85,94,84,98,80,85,80,75,70,82,90,82,80,80,87,75,85,84,75,82,78,58,75,84,96,90,80,92,90,90,50,94,65,80,81,1,20184,Elgin Baylor
82,79,92,80,70,56,82,45,83,88,90,65,88,85,88,91,98,96,95,95,62,75,92,95,47,96,85,95,97,78,52,60,95,75,88,30,88,83,94,96,85,80,92,55,90,85,75,79,1,20295,Kawhi Leonard
83,80,92,88,56,70,98,45,54,90,85,98,92,85,82,84,95,86,95,75,85,25,52,98,98,79,72,94,78,75,40,48,78,97,94,96,76,98,98,76,89,54,98,97,97,45,87,88,1,20286,Spencer Haywood
84,81,92,74,79,47,90,35,84,82,95,77,76,45,72,89,98,92,98,85,85,80,83,95,61,90,84,88,90,84,80,73,91,86,94,70,97,90,85,97,75,71,95,40,90,75,70,50,0,20172,Larry Bird
85,83,92,51,65,85,98,65,75,78,75,96,97,82,83,87,95,84,85,31,84,58,62,96,89,76,85,88,73,81,65,69,77,98,95,96,82,94,86,82,55,55,98,97,98,69,97,52,0,20182,DeMarcus Cousins
86,78,92,84,82,50,62,55,77,85,80,60,89,75,92,83,95,82,91,79,59,78,88,98,57,79,80,90,81,82,79,72,83,69,70,72,86,98,93,79,85,83,97,60,93,75,75,82,1,8523,Jim Jackson
87,78,92,86,82,54,45,70,78,85,75,41,95,90,92,85,96,80,92,78,70,77,82,98,51,78,84,90,82,79,68,70,79,74,82,78,82,98,95,72,87,85,98,55,96,74,74,93,1,8519,Jerry Stackhouse
88,84,92,78,60,90,95,55,60,88,70,95,95,65,84,82,85,90,80,65,90,59,67,98,92,64,82,94,53,78,52,54,71,92,89,88,81,97,96,81,84,69,95,90,95,59,88,75,1,20351,Karl-Anthony Towns
89,76,92,89,86,46,70,60,74,84,90,70,84,85,92,79,81,90,95,85,62,60,85,95,54,92,80,85,80,92,84,74,90,75,72,69,85,98,86,88,94,92,95,28,93,56,65,85,1,20151,Dwyane Wade
90,78,92,89,85,61,62,70,85,82,80,55,78,98,93,79,98,77,90,80,60,84,85,95,51,80,88,85,88,85,82,70,79,67,78,46,64,98,91,64,89,88,98,80,94,63,57,98,1,20023,Vince Carter
91,78,92,93,88,67,42,35,53,76,90,51,93,98,97,84,98,90,86,88,61,52,77,97,52,93,54,75,88,74,78,70,90,68,90,40,95,90,91,95,92,92,99,75,98,92,54,98,1,8012,Michael Jordan
92,83,92,80,57,89,94,42,51,88,77,95,92,78,84,85,86,82,94,66,81,26,70,95,89,76,80,90,80,72,50,52,78,90,90,88,89,95,94,90,80,66,97,90,88,80,66,82,1,20228,Anthony Davis
93,75,92,93,93,57,52,65,74,80,80,59,90,96,93,82,94,80,85,82,48,80,82,95,54,78,85,84,90,91,92,84,79,45,54,50,92,95,88,74,89,95,98,30,94,85,54,96,1,8522,Steve Francis
94,75,92,96,77,28,85,50,77,82,80,88,90,85,94,85,90,80,98,77,30,78,84,95,58,82,80,88,80,97,95,98,80,57,64,33,82,84,82,70,98,97,98,25,95,80,74,85,1,20176,Russell Westbrook
95,80,92,84,56,70,95,45,38,84,85,97,86,85,82,84,95,86,95,75,85,25,52,98,93,79,72,88,78,75,40,48,78,95,87,93,76,98,98,76,89,54,95,97,97,45,83,82,1,8583,Spencer Haywood
96,74,92,86,80,40,64,25,80,84,95,73,96,25,95,88,98,90,97,88,44,81,84,85,58,95,85,88,95,80,84,82,94,59,63,63,92,97,86,92,86,85,95,25,97,98,60,75,2,20146,Jerry West
97,71,92,94,94,50,50,30,89,92,85,54,70,35,91,90,95,81,85,84,44,91,94,98,51,80,93,95,92,93,94,90,82,40,42,44,90,93,90,81,94,96,98,30,95,89,58,95,2,20287,Terrell Brandon
98,83,92,74,64,85,86,70,44,84,95,88,65,80,78,86,80,95,75,74,94,35,70,85,89,90,69,88,85,62,54,62,92,85,88,85,74,95,90,75,82,48,90,85,85,65,70,87,1,20142,Kevin Garnett
99,75,92,87,90,30,47,25,92,94,95,50,88,25,92,92,88,90,95,94,68,92,92,95,32,94,93,95,95,95,92,85,94,65,44,38,78,94,92,81,88,88,95,25,95,63,84,75,2,20164,Chauncey Billups
100,79,92,84,80,40,73,70,83,87,80,68,88,90,88,85,95,80,73,77,63,80,86,98,54,77,89,88,51,70,74,49,79,79,79,60,76,94,95,76,86,81,98,55,90,61,68,95,1,8564,Michael Finley
101,81,92,82,86,74,78,31,88,93,70,84,78,66,96,84,91,77,75,74,68,90,95,98,35,75,90,96,75,78,70,56,74,78,79,61,76,94,95,75,80,84,95,51,95,62,55,77,1,20339,Kevin Durant
102,76,92,77,95,49,38,31,75,86,95,50,75,31,95,87,87,95,87,96,73,79,85,95,47,96,82,88,81,94,92,84,98,81,66,46,95,86,95,95,74,74,91,31,97,71,67,75,2,8563,Dennis Johnson
103,80,92,80,78,42,65,45,78,84,75,64,92,75,90,85,95,78,90,74,70,72,82,95,62,76,84,92,75,75,74,68,78,70,76,75,78,92,94,74,82,78,95,65,92,65,82,84,1,8506,Jamal Mashburn
104,84,92,40,48,80,92,45,65,88,90,94,85,65,80,82,92,92,85,40,94,28,74,98,89,82,82,90,70,82,58,71,84,95,94,95,90,98,95,84,60,32,95,85,95,62,85,41,0,20153,Pau Gasol
105,77,92,90,78,37,43,60,95,90,85,45,84,90,92,90,94,82,82,84,45,92,90,95,42,84,97,92,85,82,74,58,85,60,60,44,78,95,94,78,92,84,98,25,92,60,62,92,1,20322,Ray Allen
106,85,92,68,44,96,88,65,45,59,85,89,88,75,75,58,95,89,98,58,88,46,52,95,88,75,43,58,80,64,60,55,77,88,98,97,97,90,90,95,78,38,90,85,94,64,90,85,1,20002,Wilt Chamberlain
107,84,92,68,61,88,88,45,54,74,95,87,70,58,68,75,97,95,85,65,94,29,55,95,87,89,60,80,84,64,52,48,94,94,90,90,80,90,92,84,70,41,95,85,90,65,90,70,0,20144,Hakeem Olajuwon
108,76,92,88,90,42,40,25,64,78,90,43,83,25,95,85,95,88,95,96,66,62,84,95,40,96,70,89,74,93,94,88,98,74,60,50,90,97,91,90,90,92,95,25,95,64,69,77,2,8521,Dennis Johnson
109,81,92,50,48,72,92,36,78,96,85,94,85,50,70,84,78,84,90,51,88,31,47,98,93,78,84,96,68,60,58,69,75,95,96,96,78,95,95,78,52,37,96,95,97,65,95,70,0,20325,David West
110,72,92,98,98,37,50,30,76,82,85,45,83,65,90,80,98,80,97,90,30,77,84,95,34,82,78,84,92,85,84,82,84,33,60,25,90,97,84,92,96,98,98,25,92,95,65,97,2,20031,Allen Iverson
111,76,92,95,93,30,60,25,70,81,90,62,80,29,90,74,95,90,90,86,70,74,80,90,37,88,79,84,91,93,93,92,89,60,55,40,82,94,88,84,94,95,95,25,92,85,58,82,2,20037,Jason Kidd
112,73,92,92,93,54,44,30,80,84,75,44,85,45,92,85,95,79,85,76,45,84,85,98,53,76,85,86,78,95,93,92,78,45,58,40,85,97,95,76,93,95,94,40,95,79,48,80,2,8527,Kevin Johnson
113,78,92,86,78,37,40,35,89,95,90,45,85,70,90,88,86,85,75,94,64,84,94,97,41,89,90,95,88,78,76,71,82,60,70,35,80,98,90,80,88,83,94,35,92,65,50,62,3,20323,Richard Hamilton
114,79,92,75,45,50,99,65,32,38,98,98,60,70,55,65,98,98,99,86,98,29,68,75,99,96,62,65,95,55,54,40,97,62,48,75,92,94,86,92,82,60,98,95,95,57,86,88,4,20138,Dennis Rodman
115,75,92,74,84,27,26,30,87,89,98,45,71,51,90,84,90,95,95,98,66,88,90,95,38,98,90,93,96,90,88,80,97,33,59,25,91,84,92,91,72,72,93,25,92,60,67,73,2,20158,Joe Dumars
116,85,92,52,58,82,98,99,30,45,97,80,95,75,58,53,98,96,67,52,95,34,40,98,86,92,26,50,92,52,55,51,90,92,50,95,98,99,94,98,62,62,78,99,98,60,99,75,4,8013,Shaquille O'Neal
117,84,92,60,52,66,80,45,84,96,80,83,80,55,72,88,95,79,75,26,79,70,94,98,78,77,90,96,62,61,57,34,70,97,98,88,62,98,92,61,64,33,95,80,89,62,78,60,0,20255,Dirk Nowitzki
118,75,92,92,91,45,50,25,87,80,85,51,80,28,92,90,98,84,92,79,25,88,84,90,44,81,90,85,90,95,95,90,80,30,28,28,84,98,89,84,91,96,98,25,94,82,50,75,2,20034,Steve Nash
119,83,92,64,39,82,90,50,31,76,95,90,75,48,60,66,92,92,85,42,91,25,50,90,92,90,50,80,88,52,56,53,90,90,87,91,75,90,85,75,70,37,95,90,94,57,90,60,0,20148,Tim Duncan
120,73,92,90,88,35,37,25,81,74,90,45,78,25,84,82,85,80,92,94,40,82,81,95,37,94,87,82,90,98,99,97,93,25,29,25,90,98,80,90,89,94,95,25,85,90,31,55,2,20044,John Stockton
121,84,92,60,45,89,95,55,25,84,90,95,85,55,50,78,84,94,73,27,92,25,32,98,95,91,25,90,80,54,50,34,90,96,93,78,88,85,98,88,75,35,90,95,94,59,85,35,0,20211,Robert Parish
