,_id,Name,Position,Secondary position,Height,Overall,Open_shot_mid,Contested_shot_mid,Off_dribble_shot_mid,Open_shot_3pt,Contested_shot_3pt,Off_dribble_shot_3pt,Shot_IQ,Free_throw,Offensive_consistency,Shot_close,Standing_layup,Driving_layup,Standing_dunk,Driving_dunk,Contact_dunk,Draw_foul,Post_control,Post_hook,Post_fadeaway,Hands,Ball_control,Passing_accuracy,Passing_vision,Passing_IQ,Speed_with_ball,Speed,Acceleration,Vertical,Strength,Stamina,Hustle,Overall_durability,On-ball_defense_IQ,Low_post_defense_IQ,Pick_&_roll_defense_IQ,Help_defense_IQ,Lateral_quickness,Pass_perception,Reaction_time,Steal,Block,Shot_contest,Defensive_consistency,Offensive_rebound,Defensive_rebound,Boxout,Potential,Intangibles
15,20275,Bill Walton,C,PF,83,97,94,90,40,55,45,25,98,84,98,97,98,89,96,85,75,97,97,97,97,98,74,92,94,95,42,76,70,85,97,97,98,95,97,98,98,97,74,82,94,88,96,97,98,97,98,98,97,55
16,20244,Vince Carter,SF,SG,78,97,95,89,92,94,90,90,98,86,98,95,96,96,80,99,98,89,75,46,88,98,89,85,70,93,88,95,95,99,68,98,95,79,88,60,90,88,88,90,95,82,61,80,85,62,68,75,97,80
17,20264,Tracy McGrady,SG,PG,80,97,95,97,97,96,96,95,97,86,98,97,96,95,75,97,75,94,74,61,92,98,91,82,82,84,90,94,92,98,68,98,85,72,82,66,84,84,85,94,80,80,81,80,85,65,62,68,97,70
18,8513,David Thompson,SG,SF,76,97,92,88,90,83,80,72,98,85,98,97,98,98,85,98,95,96,74,57,58,95,82,85,70,88,88,96,97,99,78,98,96,81,88,50,89,90,88,85,95,68,85,85,90,76,78,74,97,96
19,20053,Chris Mullin,SF,SG,79,97,97,97,94,98,98,95,98,94,98,97,96,95,70,70,50,92,80,78,89,98,79,70,70,88,78,84,82,80,80,95,80,95,88,76,86,85,85,84,95,86,60,93,85,60,64,63,97,65
20,8027,Adrian Dantley,SF,,77,97,95,95,95,79,79,78,98,89,98,97,98,98,65,85,65,98,89,86,87,98,82,82,74,82,86,90,87,90,82,98,97,81,81,69,83,82,83,84,88,70,39,81,85,72,75,73,97,97
21,20261,Kevin Durant,SF,PF,81,97,97,95,96,97,96,95,98,91,98,96,98,98,51,85,65,95,84,68,88,91,90,80,60,81,88,90,90,84,55,98,75,88,80,68,81,84,80,75,84,74,74,80,80,50,84,85,97,65
22,8018,Sidney Moncrief,SG,PG,75,97,92,89,90,82,78,69,96,84,98,96,95,92,40,81,50,89,65,68,78,95,84,87,70,90,86,91,93,88,85,98,97,82,98,63,98,98,98,98,88,67,45,88,98,62,74,70,97,95
23,8014,Larry Bird,SF,PF,81,97,95,94,93,94,92,90,99,89,98,96,98,72,40,45,35,76,96,70,94,98,79,94,73,95,64,64,63,50,65,97,98,91,96,85,97,97,85,98,97,75,47,97,99,61,77,90,99,96
24,8509,Bernard King,SF,,79,97,95,93,89,79,78,78,98,82,98,98,98,98,55,90,75,97,74,84,88,90,85,82,77,90,90,92,90,94,61,98,90,79,86,72,87,86,88,84,74,70,35,74,89,60,55,65,97,97
25,8028,Mitch Richmond,SG,SF,77,97,96,96,96,96,95,95,97,89,98,97,96,94,55,75,45,94,48,69,79,96,85,82,67,86,85,89,90,89,79,98,97,94,84,62,89,89,79,85,92,78,42,79,85,52,62,64,97,97
26,8021,Dave Cowens,C,PF,81,97,91,88,60,78,68,38,97,85,98,97,96,84,95,70,40,95,96,95,94,98,44,62,55,82,42,73,60,82,95,98,98,91,94,97,98,98,80,98,54,60,65,54,98,96,96,97,97,98
27,8516,George Mikan,C,,82,97,90,89,54,84,78,52,95,80,98,97,98,84,95,75,60,89,97,97,96,98,40,57,58,60,50,76,48,80,94,98,95,81,87,96,92,97,40,90,61,65,94,61,97,97,97,98,99,95
28,8029,Walt Frazier,PG,SG,76,97,94,88,94,84,80,79,98,86,98,97,98,98,25,61,30,89,48,25,55,95,95,96,93,94,96,97,96,84,72,96,85,92,96,57,94,95,96,84,92,96,31,92,95,41,61,61,97,95
29,8025,Alonzo Mourning,C,PF,82,97,82,75,37,62,34,29,96,78,97,94,98,80,98,70,70,96,96,98,94,92,50,33,29,64,44,72,68,82,96,98,95,80,94,97,98,98,79,90,92,74,97,96,98,92,96,96,97,97
30,8517,Gail Goodrich,SG,PG,73,97,96,96,97,97,94,85,98,89,98,94,96,96,25,30,30,94,36,25,60,97,88,90,82,92,86,90,90,82,64,97,95,97,89,35,90,90,85,94,92,86,40,84,90,42,34,41,97,97
31,20054,Christian Laettner,PF,C,83,96,97,97,85,95,95,70,98,87,98,98,98,90,95,75,70,95,97,97,97,98,69,75,65,88,50,74,69,84,89,98,98,95,89,96,95,96,70,84,80,80,88,97,95,96,96,98,96,40
32,20365,Anthony Davis,PF,C,83,96,96,96,70,80,51,45,95,89,98,97,98,90,95,95,95,92,96,97,97,96,72,50,52,72,66,86,84,88,80,97,94,82,89,90,88,90,88,80,89,80,96,90,90,96,95,94,96,70
33,8508,Grant Hill,SF,SG,80,96,94,92,90,86,64,69,98,82,98,97,97,97,70,97,85,92,72,40,78,94,84,82,84,90,93,95,95,94,70,97,95,90,91,40,92,90,90,82,79,80,39,80,95,62,74,72,96,97
34,8514,Jerry Lucas,PF,C,80,96,96,94,64,94,92,58,98,85,98,97,97,78,85,70,55,92,95,96,96,95,55,75,73,78,52,71,68,70,89,98,92,95,81,88,90,90,52,77,85,50,84,88,90,96,97,98,96,96
35,8036,Chris Paul,PG,,72,96,97,92,96,94,90,89,98,90,98,98,95,97,25,27,25,88,48,40,55,95,91,98,98,98,97,97,98,88,68,97,85,77,97,65,97,96,95,96,78,98,35,82,97,34,55,50,96,70
36,8037,Dave Bing,PG,SG,75,96,95,92,94,93,89,91,98,81,98,95,97,97,25,60,30,91,40,40,60,94,93,97,90,94,95,93,94,83,58,97,95,81,84,45,86,78,92,88,88,82,37,81,85,50,40,50,96,97
37,8518,Tony Parker,PG,,74,96,95,95,94,90,88,82,97,85,98,97,97,97,25,30,30,84,58,30,58,98,95,98,92,95,98,98,97,85,50,98,95,85,88,54,88,88,87,92,95,88,35,80,90,30,47,38,96,97
38,20250,Dwight Howard,C,,83,96,28,25,25,25,25,25,98,67,98,97,98,85,98,97,90,95,95,97,53,95,50,33,33,74,31,90,82,95,98,98,95,85,89,97,96,98,85,88,82,78,96,94,98,97,97,98,96,92
39,20266,Steve Nash,PG,,75,96,95,92,95,97,96,96,98,90,98,92,95,96,25,28,25,80,30,28,28,98,97,98,99,98,97,94,94,75,50,98,92,82,81,45,80,84,87,90,84,82,45,84,85,44,51,50,96,90
40,8019,Artis Gilmore,C,,86,96,80,74,31,34,27,25,96,70,95,98,96,82,80,65,30,95,97,97,92,80,44,58,55,54,32,72,60,72,95,96,98,81,88,94,95,95,60,80,54,60,97,84,95,95,97,95,96,85
41,8020,Mark Price,PG,SG,72,96,96,96,96,97,97,95,97,95,98,95,95,93,25,25,25,88,25,25,29,98,94,97,96,97,91,90,92,80,40,97,95,85,76,25,74,78,76,72,82,67,27,75,80,38,44,40,96,96
42,20048,Clyde Drexler,SG,SF,79,95,96,94,94,84,82,69,98,85,98,98,97,98,78,98,90,93,85,65,84,98,89,92,86,94,84,95,92,97,70,98,95,98,92,65,92,91,93,94,95,94,65,92,95,65,84,82,99,43
43,20051,Scottie Pippen,SF,SG,80,95,94,90,90,84,74,74,96,80,95,97,95,95,70,95,80,84,72,70,80,98,86,90,85,92,84,86,87,86,70,98,95,97,97,84,96,97,95,95,95,96,65,94,95,78,84,82,96,44
44,20019,Dominique Wilkins,SF,SG,79,95,95,90,94,87,70,72,97,85,98,97,98,96,96,98,85,94,76,50,84,98,84,70,60,82,88,95,95,98,77,96,85,94,82,63,85,84,82,84,79,69,47,79,95,68,78,85,95,88
45,20152,Penny Hardaway,PG,SG,79,95,93,91,91,84,80,80,98,82,98,97,97,95,70,86,50,89,74,55,65,95,94,95,89,94,93,91,90,83,68,98,95,82,85,65,89,88,84,88,88,89,40,84,95,62,68,60,95,98
46,20050,David Robinson,C,PF,85,95,95,90,70,76,54,29,82,77,98,98,98,88,95,60,50,93,96,97,97,90,54,40,62,48,44,82,70,75,97,95,95,97,94,98,95,97,88,88,96,84,95,96,95,94,95,95,98,50
47,20364,Russell Westbrook,PG,,75,95,94,90,92,93,90,93,84,90,98,90,95,94,25,95,50,90,57,33,64,90,90,95,98,97,97,98,96,94,82,98,98,87,82,30,80,80,87,80,82,80,28,90,80,70,88,85,95,85
48,20033,Magic Johnson,PG,SG,81,95,82,79,81,76,71,69,98,90,98,92,98,94,25,50,25,81,90,96,60,98,94,98,96,98,87,85,86,70,86,97,95,99,90,80,95,94,90,98,97,63,32,98,95,46,67,84,99,98
49,8529,George McGinnis,PF,C,80,95,84,79,54,80,76,34,97,74,98,96,97,85,95,85,45,92,94,92,90,94,75,70,74,78,64,80,79,80,98,98,95,90,78,85,82,86,79,82,80,78,37,80,85,97,96,96,95,98
50,8034,Alex English,SF,PF,79,95,97,97,97,79,65,50,98,86,98,97,98,98,75,88,80,87,88,70,88,98,91,84,79,90,88,94,95,88,82,98,85,83,76,70,75,74,68,76,78,63,50,74,60,60,63,72,95,98
51,20166,Jason Kidd,PG,SG,76,95,92,88,92,90,84,80,98,88,95,97,98,96,25,29,25,94,70,60,68,95,93,98,98,97,95,94,95,82,70,98,90,84,94,70,97,95,95,95,82,96,30,84,95,37,62,60,95,60
52,8035,Ron Artest,SF,,78,95,89,85,85,88,88,74,96,76,95,90,94,94,60,75,59,84,69,66,77,85,79,69,66,68,80,88,86,85,93,95,84,84,98,86,98,97,98,98,80,95,53,87,98,58,48,48,95,95
53,20326,Nate Archibald,PG,,73,95,96,96,96,93,93,90,98,91,98,98,98,98,25,35,45,98,58,40,66,98,97,98,97,98,99,99,99,97,50,98,90,92,93,30,96,98,98,97,80,97,40,96,95,30,30,32,95,40
54,8024,Lou Hudson,SF,SG,77,95,96,92,94,88,88,88,95,88,98,96,95,95,50,85,55,88,78,60,65,95,82,74,68,81,82,88,86,87,82,98,94,82,86,70,88,84,84,84,84,82,45,87,90,46,58,54,95,97
55,20000,Patrick Ewing,C,PF,84,95,95,92,72,65,37,32,98,82,98,97,98,74,96,75,50,92,96,95,98,98,40,64,57,78,40,75,65,70,97,98,90,88,90,94,94,95,39,91,95,64,89,96,98,93,95,97,98,68
56,20168,Derrick Rose,PG,,75,95,95,94,95,84,84,84,98,88,98,97,98,98,25,97,55,92,55,55,55,85,96,96,88,96,98,98,98,96,70,98,95,83,80,50,79,85,84,78,79,75,37,79,85,36,55,54,95,85
57,8528,Willis Reed,C,PF,81,95,85,74,42,54,32,25,97,79,98,97,95,88,95,85,75,78,96,94,85,95,51,50,49,55,66,84,80,85,92,98,95,76,82,95,86,94,74,82,92,78,94,90,95,97,94,95,96,96
58,8002,Paul George,SF,,81,95,85,84,85,88,82,88,98,86,98,95,98,92,55,85,45,90,70,40,74,92,83,76,73,75,79,80,80,92,60,95,90,93,85,63,84,88,85,88,94,79,45,92,85,40,72,79,99,99
59,8507,Elvin Hayes,PF,C,81,95,72,60,37,70,65,35,98,69,98,98,97,72,90,85,60,85,95,93,96,95,52,58,52,60,60,80,70,80,90,97,95,84,74,95,75,96,78,78,80,80,94,90,95,97,98,98,95,88
60,20272,Jay Williams,PG,,74,95,92,90,91,89,89,89,97,82,98,94,98,97,25,50,45,95,55,25,58,98,94,92,84,94,98,98,98,86,70,98,90,95,90,48,92,85,90,94,72,95,45,84,95,32,48,48,95,80
61,8042,Jack Sikma,C,,83,95,95,93,64,86,80,29,98,92,98,96,96,74,90,65,50,92,95,95,95,95,42,60,69,78,40,62,59,70,92,97,95,88,79,88,82,88,52,80,74,64,70,84,85,93,97,97,95,96
62,8038,Chris Bosh,PF,C,83,95,95,94,70,89,85,60,98,86,98,95,97,82,90,75,50,89,96,96,96,96,58,52,43,69,52,72,60,80,80,95,95,86,80,85,86,84,49,76,73,57,61,73,85,90,92,92,95,96
63,8044,Arvydas Sabonis,C,PF,87,95,91,88,60,87,80,33,97,84,95,96,96,70,90,60,40,82,95,94,89,94,38,80,88,90,32,50,38,65,92,97,90,83,83,90,89,94,45,71,82,61,84,88,90,90,94,93,95,98
64,8515,Ben Wallace,C,PF,81,95,45,26,25,25,25,25,97,55,85,90,96,79,97,90,90,88,79,79,48,98,45,54,34,75,60,88,82,92,95,98,98,83,98,98,98,98,94,98,97,88,97,98,99,97,96,98,95,97
65,8046,Earl Monroe,PG,SG,75,95,96,92,94,89,88,82,97,88,98,97,98,97,25,48,35,90,33,36,44,95,91,92,83,94,90,92,92,88,70,97,95,79,82,30,84,85,86,84,94,84,40,75,85,48,62,54,95,98
66,8547,Kiki Vandeweghe,SF,PF,80,95,96,95,94,96,96,93,94,90,98,95,98,96,50,60,40,92,82,77,82,85,79,82,61,80,77,83,78,80,80,95,80,95,78,55,80,71,70,69,82,38,45,80,80,45,50,50,95,80
67,8040,Manu Ginobili,SG,SF,78,95,95,90,94,93,90,92,98,88,98,95,96,96,25,50,35,90,49,40,65,98,95,90,82,95,92,80,92,67,43,90,86,95,79,45,82,82,80,84,70,82,51,70,85,52,62,60,95,86
68,8045,Tim Hardaway,PG,SG,72,95,92,90,91,88,87,88,98,80,98,93,92,94,25,25,25,84,33,25,55,92,95,96,94,94,97,97,97,80,70,98,94,85,90,40,83,82,90,98,88,97,30,82,90,40,46,45,95,97
69,8043,Sam Cassell,PG,SG,75,95,94,94,93,90,89,90,98,89,98,94,95,95,25,35,30,90,60,30,64,95,93,92,94,95,93,89,92,82,48,97,85,95,78,54,78,82,75,79,82,78,45,81,85,34,46,48,95,97
70,8026,Larry Johnson,PF,SF,79,94,89,85,65,89,82,54,98,83,98,96,96,84,95,80,55,88,94,94,92,95,71,74,69,79,64,79,74,85,92,95,95,88,78,88,92,89,70,80,90,72,65,84,90,89,94,93,94,97
71,8017,Julius Erving,SF,SG,78,94,80,80,80,75,61,60,98,84,98,89,98,98,80,98,80,82,75,69,70,95,85,74,65,84,85,88,85,98,85,95,95,95,94,74,95,96,90,90,91,75,60,91,95,63,55,85,97,90
72,20310,James Harden,SG,PG,77,94,95,92,94,95,94,94,97,95,98,96,98,98,35,85,55,98,68,54,75,84,95,95,95,95,90,88,86,85,72,98,95,88,70,67,74,75,75,84,82,78,53,75,55,80,86,82,94,49
73,20160,Tracy McGrady,SG,PG,80,94,89,88,87,84,84,84,97,77,98,88,92,93,75,93,65,80,74,61,84,98,84,82,82,84,88,94,92,98,68,98,85,72,82,66,81,84,82,94,80,64,81,80,85,65,62,68,97,98
74,20273,Tyler Hansbrough,PF,C,81,94,96,95,74,88,80,48,98,84,98,98,97,78,98,90,80,95,98,96,94,98,37,54,28,78,37,80,78,80,94,98,98,95,92,95,95,96,46,74,70,63,56,70,95,97,97,96,94,45
75,8041,Tom Chambers,PF,SF,82,94,90,88,66,86,84,48,98,86,98,96,97,85,95,97,95,93,94,90,89,98,72,52,45,64,51,77,74,92,84,97,97,90,77,82,81,79,58,75,79,60,60,78,80,88,90,92,94,97
76,20258,Jerry West,PG,SG,74,94,84,80,82,93,86,89,97,88,95,86,94,88,25,25,25,96,59,63,63,98,86,96,95,98,88,89,89,75,60,95,97,82,89,44,88,82,95,84,92,98,40,92,85,58,73,64,95,94
77,20269,Jimmer Fredette,PG,SG,74,94,96,96,96,98,98,98,98,96,98,96,98,95,25,30,30,96,35,25,58,98,90,92,90,92,90,92,93,87,60,98,95,95,82,48,87,87,82,89,95,89,32,88,85,44,52,54,94,55
78,8032,Rolando Blackman,SG,,78,94,95,95,95,89,86,84,98,90,98,96,96,95,40,75,55,88,64,59,70,98,84,76,69,85,80,88,88,82,69,96,92,85,84,65,82,83,84,78,80,62,40,80,85,54,52,55,94,97
79,20143,Bill Russell,C,PF,82,94,45,38,30,29,25,25,95,61,90,88,95,76,95,83,65,71,88,88,65,98,45,78,80,88,54,81,77,88,90,95,95,96,97,98,98,96,67,97,98,72,99,99,95,94,95,95,96,98
80,20171,Wilt Chamberlain,C,PF,85,94,58,59,52,43,45,46,90,58,95,90,94,75,85,75,65,92,92,97,98,95,44,60,55,64,38,80,68,90,92,95,98,99,81,88,80,89,58,80,97,64,96,95,85,93,92,92,99,90
81,8016,Allen Iverson,SG,PG,72,94,87,90,92,79,79,78,98,81,98,78,96,98,25,65,25,88,33,25,60,98,97,90,76,90,95,95,98,97,65,98,97,84,88,30,85,82,90,96,90,95,37,92,91,34,45,50,99,93
82,8022,Elton Brand,C,,81,94,94,92,48,59,31,30,98,82,98,97,96,76,95,65,50,91,96,96,92,92,45,42,45,75,39,67,54,70,96,98,95,90,77,89,88,88,42,80,76,77,84,82,90,96,96,95,94,97
83,8023,Zach Randolph,PF,,81,94,94,90,66,81,78,29,97,85,98,97,98,80,95,70,65,90,96,97,95,90,35,45,49,61,32,62,58,70,95,98,94,76,77,91,90,92,48,78,73,58,40,73,90,90,92,91,94,98
84,8033,Drazen Petrovic,SG,SF,77,94,98,94,97,98,98,98,98,87,98,90,92,89,30,57,40,83,45,58,67,95,82,78,71,82,80,83,82,65,60,95,85,89,82,42,84,80,84,79,84,71,38,78,85,62,48,47,94,96
85,8031,Shaquille O'Neal,C,PF,85,94,37,25,25,26,25,25,99,53,98,97,98,58,99,85,99,97,94,97,50,98,58,66,51,66,52,78,70,85,99,95,85,83,92,95,90,96,52,92,98,60,90,98,97,90,90,98,99,98
86,20327,Tim Duncan,PF,C,83,94,84,80,50,50,31,25,90,70,95,92,94,74,90,65,60,80,93,93,87,95,45,56,53,52,37,70,64,70,90,95,85,92,90,91,90,92,65,88,75,65,88,85,95,92,94,94,99,98
87,20145,Dikembe Mutombo,C,PF,86,94,35,25,25,25,25,25,95,71,85,92,95,32,97,40,70,75,78,95,48,95,29,45,32,45,35,74,62,85,83,85,80,95,97,98,97,98,80,95,95,58,98,95,98,98,97,97,94,90
88,8039,Clyde Drexler,SG,SF,79,93,88,87,84,84,77,69,95,81,95,94,95,94,78,98,65,84,74,65,84,98,82,79,72,82,83,82,81,94,70,96,95,88,88,65,90,85,88,94,92,80,52,92,95,65,75,74,99,90
89,20254,Blake Griffin,PF,C,82,93,92,84,51,70,55,45,98,75,98,97,97,83,98,98,98,86,92,92,92,95,76,72,71,79,60,86,80,98,86,97,95,87,80,88,89,86,62,75,86,74,65,72,85,92,94,92,93,60
90,20361,Kristaps Porzingis,PF,C,87,93,91,87,78,92,88,68,92,88,95,92,92,84,95,80,55,82,88,89,92,77,80,82,70,88,68,87,80,82,55,92,85,75,77,87,82,88,69,60,68,85,85,84,80,84,87,85,93,96
91,20200,Jimmy Butler,SG,SF,79,93,95,93,94,83,78,70,97,97,98,95,98,96,32,90,60,98,70,41,70,85,80,78,70,78,83,84,80,76,63,98,95,80,92,68,90,84,92,90,82,92,44,81,90,75,85,82,93,85
92,20039,Oscar Robertson,PG,SG,77,93,87,80,84,80,75,78,98,85,98,89,88,98,25,50,25,73,85,70,82,90,89,98,97,98,84,78,77,86,75,90,83,88,95,55,94,95,95,95,95,72,45,95,95,63,63,70,97,85
93,20362,Eric Gordon,SG,SF,76,93,90,90,84,98,98,98,98,95,98,92,92,90,30,70,30,82,50,35,63,94,85,84,80,82,88,89,90,88,65,98,78,75,84,42,85,83,85,84,73,84,45,73,85,41,42,40,93,80
94,20374,Giannis Antetokounmpo,SF,PF,83,92,94,90,90,78,57,56,97,90,98,95,97,97,50,95,85,97,52,42,53,90,85,81,79,88,89,94,90,80,70,95,95,89,87,64,88,88,90,92,77,92,83,84,85,60,80,80,92,55
95,20196,James Harden,SG,PG,77,92,95,92,94,95,92,94,92,92,98,92,94,98,35,85,55,98,68,54,75,84,93,84,95,90,90,86,86,85,72,98,95,88,70,67,74,75,75,78,82,69,53,75,55,80,86,82,92,40
96,8520,Shawn Marion,SF,PF,79,92,88,76,59,83,78,65,97,85,95,95,95,85,85,92,70,79,84,80,62,95,68,60,34,70,73,84,82,88,75,98,90,85,86,80,88,88,84,95,84,96,80,92,90,74,81,89,92,85
97,20128,LeBron James,SF,PF,80,92,85,84,83,84,74,75,87,61,95,91,97,95,59,85,50,77,83,63,73,87,78,76,92,88,87,88,85,86,87,98,93,96,91,80,90,90,91,91,85,54,44,84,90,60,80,78,98,75
98,20256,Michael Jordan,SG,SF,78,92,85,84,84,70,60,60,98,86,98,90,95,95,75,98,65,96,68,40,90,98,88,80,70,80,90,95,95,98,54,99,86,88,92,61,94,84,90,80,95,92,67,95,95,52,51,42,99,68
99,20184,Elgin Baylor,SF,PF,77,92,87,82,82,80,74,70,96,84,90,90,94,94,50,85,40,90,78,75,58,98,84,84,75,85,90,92,92,81,80,90,85,84,80,75,82,80,80,75,84,65,60,80,80,82,85,84,99,96
100,20295,Kawhi Leonard,SF,PF,79,92,95,88,92,85,83,75,83,91,95,94,90,88,55,85,45,88,75,30,88,98,70,52,60,78,80,85,80,79,75,92,95,81,96,62,95,96,95,97,88,85,56,96,90,47,65,82,95,68
101,20286,Spencer Haywood,PF,,80,92,94,90,52,72,54,25,98,84,98,98,97,82,97,85,45,92,97,96,94,95,56,40,48,75,54,89,88,88,87,98,95,98,79,85,78,86,75,78,76,45,70,76,85,98,98,98,94,50
102,20172,Larry Bird,SF,PF,81,92,88,82,83,84,84,80,90,89,95,85,90,72,40,45,35,76,86,70,94,98,79,80,73,84,71,75,74,50,70,95,98,99,90,85,91,92,85,90,97,75,47,97,95,61,77,90,99,85
103,20182,DeMarcus Cousins,C,,83,92,88,78,62,85,75,58,94,87,96,86,98,83,97,82,65,97,98,96,95,95,65,65,69,81,55,55,51,52,97,98,85,83,76,84,77,84,31,73,82,69,85,82,75,89,96,98,92,89
104,8523,Jim Jackson,SG,,78,92,90,85,88,80,77,78,98,83,98,93,93,92,60,75,55,89,69,72,70,95,82,79,72,82,83,85,84,82,75,97,91,95,79,59,83,82,79,81,86,75,50,79,80,57,60,62,92,98
105,8519,Jerry Stackhouse,SG,SF,78,92,90,85,82,84,78,77,98,85,98,95,96,92,55,90,70,95,74,78,82,96,82,68,70,79,85,87,86,93,74,98,92,80,78,70,79,80,78,82,82,74,54,72,75,51,41,45,92,97
106,20351,Karl-Anthony Towns,C,PF,84,92,94,88,67,82,60,59,97,82,98,96,95,84,90,65,55,95,92,88,89,85,60,52,54,78,69,84,78,75,88,95,80,82,64,90,71,90,65,53,81,59,90,81,70,92,95,95,95,80
107,20151,Dwyane Wade,SG,,76,92,85,84,85,80,74,60,98,79,95,86,93,92,28,85,60,84,75,69,72,81,86,84,74,92,92,94,89,85,65,95,95,74,92,62,90,90,85,80,85,56,46,88,90,54,70,70,94,95
108,20023,Vince Carter,SF,SG,78,92,85,82,85,88,85,84,98,79,95,91,94,93,80,98,70,78,67,46,78,98,85,82,70,85,88,89,89,98,57,98,90,79,80,60,79,77,80,88,64,63,61,64,80,51,55,62,94,97
109,8012,Michael Jordan,SG,SF,78,92,75,76,77,54,53,52,90,84,97,91,98,97,75,98,35,93,68,40,90,98,88,78,70,74,92,92,93,98,54,99,86,88,93,61,90,90,88,88,95,92,67,95,90,52,51,42,99,90
110,20228,Anthony Davis,PF,C,83,92,90,88,70,80,51,26,95,85,95,94,88,84,90,78,42,92,90,88,90,86,57,50,52,72,66,80,80,82,66,97,94,82,76,81,78,82,66,80,89,80,89,90,77,89,95,94,95,80
